capability_id,service_id,kind,operation_type,side_effect_level,grant_policy,produces,does_not_produce,minimum_scope,backend_operation,output_shape,output_intent,intent_type,subject_kind,context_type,summary
gtm.pipeline_summary,gtm-pipeline-service,atomic,read,read,,content.summary,raw_data_export,gtm.pipeline_summary,gtm.pipeline_summary,gtm_pipeline_summary_result,Return bounded pipeline health evidence.,summary,pipeline,quarter_scope,Return bounded pipeline health evidence without exporting raw rows.
gtm.pipeline_forecast_summary,gtm-pipeline-service,atomic,read,read,,content.summary,raw_data_export,gtm.pipeline_forecast_summary,gtm.pipeline_forecast_summary,gtm_pipeline_forecast_summary_result,Return bounded forecast evidence.,summary,pipeline,quarter_scope,Return bounded forecast evidence without exporting raw rows.
gtm.stage_bottleneck_summary,gtm-pipeline-service,atomic,read,read,,content.summary,raw_data_export,gtm.stage_bottleneck_summary,gtm.stage_bottleneck_summary,gtm_stage_bottleneck_summary_result,Return bounded bottleneck evidence.,summary,pipeline,quarter_scope,Return bounded bottleneck evidence without exporting raw rows.
gtm.sales_team_performance_summary,gtm-pipeline-service,atomic,read,read,,content.summary,raw_data_export,gtm.sales_team_performance_summary,gtm.sales_team_performance_summary,gtm_sales_team_performance_summary_result,Return bounded team performance evidence.,summary,pipeline,quarter_scope,Return bounded team performance evidence without exporting raw rows.
gtm.product_pipeline_summary,gtm-pipeline-service,atomic,read,read,,content.summary,raw_data_export,gtm.product_pipeline_summary,gtm.product_pipeline_summary,gtm_product_pipeline_summary_result,Return bounded product pipeline evidence.,summary,pipeline,quarter_scope,Return bounded product pipeline evidence without exporting raw rows.
gtm.stalled_opportunity_review,gtm-pipeline-service,atomic,read,read,,content.summary,raw_data_export,gtm.stalled_opportunity_review,gtm.stalled_opportunity_review,gtm_stalled_opportunity_review_result,Return bounded stalled opportunity evidence.,summary,pipeline,quarter_scope,Return bounded stalled opportunity evidence without exporting raw rows.
gtm.account_risk_summary,gtm-pipeline-service,atomic,read,read,,content.summary,raw_data_export,gtm.account_risk_summary,gtm.account_risk_summary,gtm_account_risk_summary_result,Return bounded account risk evidence.,summary,pipeline,quarter_scope,Return bounded account risk evidence without exporting raw rows.
gtm.prepare_followup_tasks,gtm-pipeline-service,atomic,approval_gated,approval_required,default_one_time,approval.request;system.preview_mutation;content.summary,approval.execute;raw_data_export,gtm.prepare_followup_tasks,gtm.prepare_followup_tasks,gtm_followup_task_preview,Prepare follow-up task preview and stop at approval.,approval_preview,pipeline,quarter_scope,Prepare follow-up task preview and stop at approval.
gtm.prepare_reassignment_plan,gtm-pipeline-service,atomic,approval_gated,approval_required,default_one_time,approval.request;system.preview_mutation;content.summary,approval.execute;raw_data_export,gtm.prepare_reassignment_plan,gtm.prepare_reassignment_plan,gtm_reassignment_preview,Prepare reassignment preview and stop at approval.,approval_preview,pipeline,quarter_scope,Prepare reassignment preview and stop at approval.
gtm.account_enrichment_summary,gtm-enrichment-service,atomic,read,read,,content.summary,raw_data_export,gtm.account_enrichment_summary,gtm.account_enrichment_summary,gtm_account_enrichment_summary_result,Return bounded enrichment context.,summary,enrichment,account_scope,Return bounded enrichment context without exporting raw rows.
gtm.lookalike_accounts,gtm-enrichment-service,atomic,read,read,,content.summary,raw_data_export,gtm.lookalike_accounts,gtm.lookalike_accounts,gtm_lookalike_accounts_result,Return bounded lookalike account evidence.,summary,enrichment,account_scope,Return bounded lookalike account evidence without exporting raw rows.
gtm.at_risk_account_enrichment_summary,gtm-enrichment-service,composed,read,read,,content.summary,raw_data_export,gtm.at_risk_account_enrichment_summary,gtm.at_risk_account_enrichment_summary,gtm_account_enrichment_summary_result,Compose at-risk account selection with bounded enrichment context.,summary,enrichment,account_scope,Compose at-risk account selection with bounded enrichment context.
gtm.score_leads,gtm-prioritization-service,atomic,read,read,,content.summary;content.recommendation,raw_model_features;raw_data_export,gtm.score_leads,gtm.score_leads,gtm_lead_score_summary,Score a bounded lead cohort with explainable rationale.,recommendation,prioritization,cohort_scope,Score a bounded lead cohort with explainable rationale without exposing raw model features.
gtm.prioritize_accounts,gtm-prioritization-service,atomic,read,read,,content.summary;content.recommendation,raw_model_features;raw_data_export,gtm.prioritize_accounts,gtm.prioritize_accounts,gtm_account_priority_summary,Prioritize a bounded account cohort with explainable rationale.,recommendation,prioritization,cohort_scope,Prioritize a bounded account cohort with explainable rationale without exposing raw model features.
gtm.route_leads,gtm-prioritization-service,atomic,approval_gated,approval_required,default_one_time,approval.request;system.preview_mutation;content.summary,approval.execute;raw_model_features;raw_data_export,gtm.route_leads,gtm.route_leads,gtm_routing_preview,Prepare routing preview and stop at approval.,approval_preview,prioritization,cohort_scope,Prepare routing preview and stop at approval.
